usage_count,destination_ip,hostname,timestamp,hop,hop_ip,rtt_ms,bandwidth_mbps
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,1,172.17.144.1,1.387000,2115.555556
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,2,10.7.0.5,3.296667,16.218252
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,3,172.16.4.4,12.657667,10.729899
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,4,14.139.98.1,12.862667,555.505845
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,5,10.117.81.253,5.211333,214.105014
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,6,10.154.8.137,13.049333,1203.030303
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,7,10.255.239.170,13.879667,1374.074074
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,8,10.152.7.214,15.651333,649.149595
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,9,142.250.172.80,58.863000,1040.291905
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,10,142.251.76.31,14.211667,1655.555556
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,11,142.250.214.103,22.364000,1611.111111
1,142.250.182.228,www.google.com,2025-04-11 20:34:03,12,142.250.182.228,13.661000,N/A
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,1,172.17.144.1,0.622000,2706.666667
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,2,10.7.0.5,4.755333,761.794234
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,3,172.16.4.4,19.702333,2240.000000
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,4,14.139.98.1,14.007333,1281.616162
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,5,10.117.81.253,3.294333,1644.444444
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,6,10.154.8.137,13.642333,1453.333333
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,7,10.255.239.170,13.639667,1324.074074
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,8,10.152.7.214,13.473333,1201.169591
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,9,72.14.204.62,13.927000,1533.333333
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,10,142.251.49.177,14.368333,1009.023912
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,11,142.251.69.103,23.510667,1037.500515
2,142.251.42.68,www.google.com,2025-04-11 20:38:08,12,142.251.42.68,15.139000,N/A
